School,Name,Title
University Of Florida,Kevin O'Sullivan,Head Coach
University Of Florida,Chuck Jeroloman,Associate Head Coach
University Of Florida,Taylor Black,Assistant Coach
University Of Florida,David Kopp,Pitching Coach
University Of Florida,Michael Byrne,Student Assistant Coach
University Of Florida,Mike Rivera,Director of Player Development
University Of Florida,Shawn Burke,Strength and Conditioning Coordinator
University Of Florida,Buddy Munroe,Director of Baseball Operations
University Of Florida,Edmund Boyd,"Assistant Director, Lemerand Equipment"
University Of Florida,Ann Hughes,"Assistant Director, Student Services"
University Of Florida,Zach Cronin,Director of Player Personnel & Scouting
University Of Florida,Jarrett Schweim,Athletic Trainer
University Of Florida,Orlando Prescott,Program Assistant
University Of Florida,Lindsay  Birchfield,Intern Athletic Trainer
University Of Missouri,Kerrick Jackson,Head Coach
University Of Missouri,Jabari Brown,Assistant Coach
University Of Missouri,Tim Jamieson,Assistant Coach
University Of Missouri,Bryson  LeBlanc,Assistant Coach
University Of Missouri,Jose Carballo,Director of Recruiting and Operations
University Of Missouri,Joseph Dattoli,Director of Player Development
University Of Missouri,Anthony  Hansen,Director of Player Personnel
University Of Missouri,Isaiah Paige,Director of Pitching Development
University Of Missouri,Hampton Hudson,Graduate Assistant
University Of Oklahoma,Skip Johnson,Head Coach
University Of Oklahoma,Reggie Willits,Associate Head Coach
University Of Oklahoma,Todd Butler,Assistant Coach
University Of Oklahoma,Russell Raley,Assistant Coach
University Of Oklahoma,Britt Bonneau,Director of Player Development
University Of Oklahoma,Ryan Gaines,Chief of Staff
University Of Oklahoma,Melissa  Hampton Lindon,Athletic Trainer (Baseball)
University Of Oklahoma,Tyler Schwalbach,Equipment Manager (Baseball)
University Of Oklahoma,Tim Overman,Strength & Conditioning
University Of Oklahoma,Vince Rinaldi,Baseball Video and Analytics Coordinator
University Of Oklahoma,Coriann MacNeill,Dietitian
University Of Oklahoma,Jaye Rideaux,Assistant A.D. / Academic Support Services
University Of Oklahoma,Greg Tipton,"Executive Associate A.D. / Internal Operations, Facilities & Events (Baseball Sport Administrator)"
University Of Oklahoma,Kendall Mayer,"Associate A.D, Athletics Advancement (Secondary Baseball Sport Administrator)"
University Of Oklahoma,Grant Stevens,Pitching Development
University Of Oklahoma,Bryce Madron,Student Coach
University Of Oklahoma,Scott Mudler,Student Coach
University Of Alabama,Rob Vaughn,Head Coach
University Of Alabama,Jason Jackson,Associate Head Coach
University Of Alabama,Mike Morrison,Assistant Coach
University Of Alabama,Anthony Papio,Assistant Coach
University Of Alabama,Sean Stryker,Athletic Trainer
University Of Alabama,Brett Price,Associate Strength and Conditioning Coach (Baseball)
University Of Alabama,Mikey White,"Coordinator, Player Development"
University Of Alabama,Jenny Sanders,Director of Operations
University Of Alabama,Stephanie Godfrey,"Assistant Director, Athletics Student Services (Baseball, Softball)"
University Of Alabama,Amanda Branson,"Director, Olympic Sport Performance Nutrition"
University Of Alabama,Jessica Paré,"Deputy Director of Athletics, External (Baseball Oversight)"
University Of Alabama,Garrett Wood,Recruiting Operations Assistant
University Of Washington,Eddie Smith,Head Coach
University Of Washington,Connor Lambert,Pitching Coach
University Of Washington,Mike Gange,Recruiting Coordinator
University Of Washington,Joe Murray,Strength & Conditioning Coach
University Of Washington,Damon Lessler,Director of Player Development
Northwestern University,Ben Greenspan,Sidney and Mildred LaPidus Head Baseball Coach
Northwestern University,Tyler Rost,Recruiting Coordinator / Hitting Coach
Northwestern University,Ben Keizer,Pitching Coach
Northwestern University,Cody Jefferis,Assistant Coach
Northwestern University,Tito Flores,Director of Baseball Operations
Northwestern University,Kristen Mostrom,Associate Athletic Trainer (Baseball)
Northwestern University,Tim Kinahan,Assistant Equipment Manager
Purdue University,Greg Goff,Head Coach
Purdue University,Barrett Serrato,Assistant Coach / Recruiting Coordinator
Purdue University,Josh Newman,Assistant Coach
Purdue University,Jimmy Brenneman,Assistant Coach
Purdue University,Zac Fascia,Program Operations & Analytics Coordinator
Purdue University,John Madia,Director of Player Development
Purdue University,Tony Webb,Strength & Conditioning
Purdue University,Kayla Wincko,Athletic Trainer
Purdue University,Elaine Wanstreet,Sports Dietitian
Purdue University,Casey Kohr,Associate Director of Sports Medicine
Purdue University,Baseball Team Managers,Support Staff
University of Nebraska,Will Bolt,Head Coach
University of Nebraska,Rob Childress,Assistant Coach
University of Nebraska,Lance Harvell,Assistant Coach
University of Nebraska,Mike Sirianni,Assistant Coach
University of Nebraska,Conor Behrens,Director of Operations
University of Nebraska,Derek Roy,Director of Player Development
University of Nebraska,Cole Evans,Graduate Manager
University of Nebraska,Garrett Plumlee,Strength Coach
University of Nebraska,Tanner Fowler,Athletic Trainer
University of Nebraska,Renee Brinkmann,Baseball Secretary
University of Nebraska,Dennis Leblanc,Sport Administrator
University of Nebraska,Tim Henrichs,Secondary Sport Administrator
